Case,N_qubits,Nl,Entanglement,F_loss,Promedio,Desviacion_Estandar
c1,1,3,False,FIDELITY,3.63,1.230081298126266
c1,1,3,False,RENYI_0_5,2.31,1.460787458872782
c1,1,3,False,RENYI_2,3.49,1.0535179163165664
c1,1,3,False,TRACE,3.66,1.3358143583597237
c1,1,3,False,VN,1.91,0.8496469855181034
c2,1,5,False,FIDELITY,3.16,1.4402777509911067
c2,1,5,False,RENYI_0_5,2.91,1.3122118731363468
c2,1,5,False,RENYI_2,3.69,1.3014991356124674
c2,1,5,False,TRACE,3.01,1.117989266495882
c2,1,5,False,VN,2.23,1.4687069142616573
c3,1,10,False,FIDELITY,2.68,1.4062716664997554
c3,1,10,False,RENYI_0_5,2.36,1.345511055324333
c3,1,10,False,RENYI_2,3.95,1.2835497652993435
c3,1,10,False,TRACE,3.29,1.0610843510296437
c3,1,10,False,VN,2.72,1.364404632064843
c4,2,3,False,FIDELITY,3.35,1.306713434537198
c4,2,3,False,RENYI_0_5,2.28,1.42884568795934
c4,2,3,False,RENYI_2,3.78,1.2536347155371854
c4,2,3,False,TRACE,3.25,1.1521718621802912
c4,2,3,False,VN,2.34,1.266649122685521
c5,2,5,False,FIDELITY,3.04,1.392264342716569
c5,2,5,False,RENYI_0_5,2.58,1.4154857823376399
c5,2,5,False,RENYI_2,3.94,1.2068139873236472
c5,2,5,False,TRACE,3.16,1.1976643937263896
c5,2,5,False,VN,2.28,1.2496399481450646
c6,2,10,False,FIDELITY,2.76,1.6193825983997732
c6,2,10,False,RENYI_0_5,3.03,1.2284543133547945
c6,2,10,False,RENYI_2,3.92,1.0552724766618335
c6,2,10,False,TRACE,3.18,1.219672087079146
c6,2,10,False,VN,2.11,1.2401209618420295
c7,2,3,True,FIDELITY,3.35,1.4168627315304756
c7,2,3,True,RENYI_0_5,2.61,1.4414922823241196
c7,2,3,True,RENYI_2,3.81,1.2222520198387894
c7,2,3,True,TRACE,3.05,1.1169153951844337
c7,2,3,True,VN,2.18,1.2520383380711633
c8,2,5,True,FIDELITY,3.49,1.3747363383572868
c8,2,5,True,RENYI_0_5,2.64,1.4595889832415152
c8,2,5,True,RENYI_2,3.75,1.2359207094308275
c8,2,5,True,TRACE,2.94,1.1473447607410774
c8,2,5,True,VN,2.18,1.2359611644384303
c9,2,10,True,FIDELITY,3.5,1.5329709716755893
c9,2,10,True,RENYI_0_5,2.67,1.456399670420177
c9,2,10,True,RENYI_2,3.54,1.033634364753804
c9,2,10,True,TRACE,3.07,1.2430205147140572
c9,2,10,True,VN,2.22,1.2851459061133872
c10,4,3,False,FIDELITY,3.25,1.2678722333105965
c10,4,3,False,RENYI_0_5,2.02,1.4420818284688288
c10,4,3,False,RENYI_2,4.13,1.1194194924156002
c10,4,3,False,TRACE,3.23,1.0849423947841654
c10,4,3,False,VN,2.37,1.0644716999526103
c11,4,5,False,FIDELITY,3.24,1.4291256067959877
c11,4,5,False,RENYI_0_5,2.41,1.517201370945861
c11,4,5,False,RENYI_2,3.89,1.1304423912787418
c11,4,5,False,TRACE,3.21,1.1427598172844546
c11,4,5,False,VN,2.25,1.1258330249197703
c12,4,10,False,FIDELITY,3.32,1.370255450636851
c12,4,10,False,RENYI_0_5,3.15,1.299038105676658
c12,4,10,False,RENYI_2,3.64,1.3676256797823008
c12,4,10,False,TRACE,2.57,1.2349493916756267
c12,4,10,False,VN,2.32,1.3629380029920657
c13,4,3,True,FIDELITY,2.82,1.5644807445283564
c13,4,3,True,RENYI_0_5,3.41,0.8728688332160796
c13,4,3,True,RENYI_2,3.98,1.1998333217576516
c13,4,3,True,TRACE,2.84,1.238709005376162
c13,4,3,True,VN,1.95,1.2359207094308275
c14,4,5,True,FIDELITY,3.45,1.3738631664034084
c14,4,5,True,RENYI_0_5,2.3,1.4730919862656235
c14,4,5,True,RENYI_2,3.61,1.173839852790831
c14,4,5,True,TRACE,3.06,1.2395160345876934
c14,4,5,True,VN,2.58,1.335514881983724
c15,4,10,True,FIDELITY,3.11,1.4959612294441322
c15,4,10,True,RENYI_0_5,3.12,1.409113196304683
c15,4,10,True,RENYI_2,3.54,1.2362847568420472
c15,4,10,True,TRACE,2.84,1.1551623262554922
c15,4,10,True,VN,2.39,1.4825316185498372
